Demt_6,Demt_5,Demt_4,Demt_3,Demt_2,Demt_1,Demt_0,Temp_6,Temp_5,Temp_4,Temp_3,Temp_2,Temp_1,Temp_0,Snmt_6,Snmt_5,Snmt_4,Snmt_3,Snmt_2,Snmt_1,Snmt_0,ETt_6,ETt_5,ETt_4,ETt_3,ETt_2,ETt_1,ETt_0,Rt_6,Rt_5,Rt_4,Rt_3,Rt_2,Rt_1,Rt_0,Wlt_6,Wlt_5,Wlt_4,Wlt_3,Wlt_2,Wlt_1,Wlt_0
0,0,0,0,0,0,8.45810017,11.01580829,5.068846154,-6.263422476,-13.31153846,-8.593461538,0.767692308,7.36,0.505476923,0.282830769,2.105107692,0.159753846,5.187938462,37.06609231,5.176769231,31.53478462,19.34542347,7.040538852,3.284569231,1.170469231,24.01927692,49.00419231,29.38289231,84.76553846,16.35052308,19.13206154,8.774892308,49.99089231,55.77944615,156.1871429,155.3942857,155.0642857,154.7183333,154.52,153.9742857,153.7571429
0,0,0,0,0,8.45810017,70.98053213,5.068846154,-6.263422476,-13.31153846,-8.593461538,0.767692308,7.36,16.67769231,0.282830769,2.105107692,0.159753846,5.187938462,37.06609231,5.176769231,0,19.34542347,7.040538852,3.284569231,1.170469231,24.01927692,49.00419231,89.55387692,84.76553846,16.35052308,19.13206154,8.774892308,49.99089231,55.77944615,198.3320615,155.3942857,155.0642857,154.7183333,154.52,153.9742857,153.7571429,153.3557143
0,0,0,0,8.45810017,70.98053213,131.005696,-6.263422476,-13.31153846,-8.593461538,0.767692308,7.36,16.67769231,19.11076923,2.105107692,0.159753846,5.187938462,37.06609231,5.176769231,0,0,7.040538852,3.284569231,1.170469231,24.01927692,49.00419231,89.55387692,124.9212385,16.35052308,19.13206154,8.774892308,49.99089231,55.77944615,198.3320615,85.80603077,155.0642857,154.7183333,154.52,153.9742857,153.7571429,153.3557143,153.2971429
0,0,0,8.45810017,70.98053213,131.005696,201.095227,-13.31153846,-8.593461538,0.767692308,7.36,16.67769231,19.11076923,24.85653846,0.159753846,5.187938462,37.06609231,5.176769231,0,0,0,3.284569231,1.170469231,24.01927692,49.00419231,89.55387692,124.9212385,152.1050535,19.13206154,8.774892308,49.99089231,55.77944615,198.3320615,85.80603077,99.10055385,154.7183333,154.52,153.9742857,153.7571429,153.3557143,153.2971429,154.6485714
0,0,8.45810017,70.98053213,131.005696,201.095227,195.4784728,-8.593461538,0.767692308,7.36,16.67769231,19.11076923,24.85653846,22.96384615,5.187938462,37.06609231,5.176769231,0,0,0,0,1.170469231,24.01927692,49.00419231,89.55387692,124.9212385,152.1050535,111.113015,8.774892308,49.99089231,55.77944615,198.3320615,85.80603077,99.10055385,109.3287385,154.52,153.9742857,153.7571429,153.3557143,153.2971429,154.6485714,158.9783333
0,8.45810017,70.98053213,131.005696,201.095227,195.4784728,55.9855637,0.767692308,7.36,16.67769231,19.11076923,24.85653846,22.96384615,17.98461538,37.06609231,5.176769231,0,0,0,0,0,24.01927692,49.00419231,89.55387692,124.9212385,152.1050535,111.113015,81.9503,49.99089231,55.77944615,198.3320615,85.80603077,99.10055385,109.3287385,57.72818462,153.9742857,153.7571429,153.3557143,153.2971429,154.6485714,158.9783333,154.9114286
8.45810017,70.98053213,131.005696,201.095227,195.4784728,55.9855637,0,7.36,16.67769231,19.11076923,24.85653846,22.96384615,17.98461538,11.32115385,5.176769231,0,0,0,0,0,3.00E-04,49.00419231,89.55387692,124.9212385,152.1050535,111.113015,81.9503,50.76424615,55.77944615,198.3320615,85.80603077,99.10055385,109.3287385,57.72818462,84.84233846,153.7571429,153.3557143,153.2971429,154.6485714,158.9783333,154.9114286,153.4828571
70.98053213,131.005696,201.095227,195.4784728,55.9855637,0,0,16.67769231,19.11076923,24.85653846,22.96384615,17.98461538,11.32115385,1.121538462,0,0,0,0,0,3.00E-04,6.236307692,89.55387692,124.9212385,152.1050535,111.113015,81.9503,50.76424615,18.96223846,198.3320615,85.80603077,99.10055385,109.3287385,57.72818462,84.84233846,60.79852308,153.3557143,153.2971429,154.6485714,158.9783333,154.9114286,153.4828571,153.0114286
131.005696,201.095227,195.4784728,55.9855637,0,0,0,19.11076923,24.85653846,22.96384615,17.98461538,11.32115385,1.121538462,-2.64,0,0,0,0,3.00E-04,6.236307692,3.405169231,124.9212385,152.1050535,111.113015,81.9503,50.76424615,18.96223846,9.104284615,85.80603077,99.10055385,109.3287385,57.72818462,84.84233846,60.79852308,44.80689231,153.2971429,154.6485714,158.9783333,154.9114286,153.4828571,153.0114286,152.6428571
201.095227,195.4784728,55.9855637,0,0,0,0,24.85653846,22.96384615,17.98461538,11.32115385,1.121538462,-2.64,-5.678846154,0,0,0,3.00E-04,6.236307692,3.405169231,3.273353846,152.1050535,111.113015,81.9503,50.76424615,18.96223846,9.104284615,1.159207692,99.10055385,109.3287385,57.72818462,84.84233846,60.79852308,44.80689231,16.79753846,154.6485714,158.9783333,154.9114286,153.4828571,153.0114286,152.6428571,152.44
