Observed,Predicted
1457.0,1340.1345350279425
1431.0,1324.017135517723
1399.0,1307.8012145748403
1365.0,1302.2887232549147
1336.0,1289.774823517836
1314.0,1288.888821348598
1327.0,1267.9330847452359
1307.0,1276.638601367127
1299.0,1267.5746810734438
1282.0,1247.5839537756099
1259.0,1251.8953262938344
1265.0,1259.6435954283133
1336.0,1338.1798570696467
1443.0,1481.297911334639
1573.0,1525.375268407055
1669.0,1699.0633014366108
1792.0,1936.891772107635
1892.0,1747.7375619112179
1839.0,1560.1897100942701
1730.0,1466.1566827983947
1723.0,1444.6171047687144
1711.0,1552.433999026521
1753.0,1682.0595871126905
1838.0,1781.7431174188418
1877.0,2064.8270425335686
1982.0,2280.657833127845
2097.0,2202.3925761965993
2076.0,2022.0919895157047
1991.0,1932.5784477029142
1900.0,1843.9378848504805
1857.0,1789.4034595674586
1858.0,1693.5231338662131
1851.0,1671.1625071347792
1842.0,1679.9947692365386
1840.0,1747.623449616674
1908.0,2364.934216665628
2333.0,3027.5047996331978
2722.0,2801.4074611143687
2656.0,2555.733485864581
2527.0,2573.7223897714484
2465.0,2668.9484115837886
2439.0,2593.096186470986
2345.0,2345.873372980983
2211.0,2304.2183702734455
2113.0,2168.2641276381382
2022.0,1976.98727992836
2001.0,2068.411203103134
2082.0,2155.86793371691
2125.0,2105.735851792212
2086.0,2130.7771117885804
2128.0,2185.022420830047
2114.0,2147.7959195385506
2081.0,2239.1138181474653
2130.0,2476.292091819604
2267.0,2593.0793583739196
2372.0,2498.1842264254847
2305.0,2382.1449506280355
2402.0,2409.0195284981064
2582.0,2504.9081272386156
2701.0,2913.7027760564897
2880.0,3073.293251152813
2982.0,2730.764162389662
2882.0,2535.4424487375786
2777.0,2436.9262418715034
2672.0,2432.872251170672
2600.0,2474.8044783743417
2560.0,2419.411760191925
2479.0,2239.785060903086
2368.0,2071.8434816619174
2309.0,1992.8150693493114
2394.0,2233.158956643889
2731.0,2498.3340767889918
2977.0,2683.728439597584
3155.0,2960.7895309140986
3227.0,2809.0468722816104
3177.0,2762.9221552354525
3079.0,2716.338564483077
3043.0,2878.763548352511
2998.0,2958.860366343634
2995.0,3005.8366358655035
2968.0,3036.4702310646353
2905.0,2701.9486102885458
2779.0,2499.9841956691635
2595.0,2355.1961483129417
2438.0,2280.71521226628
2337.0,2222.2941229594535
2309.0,2184.6606345390896
